Bins	Phylum	abundace	Hos	DL
Bin76	Acidobacteriota	0.0882578345444263	0.0233291461076229	-0.0516217278171693
Bin77	Acidobacteriota	0.138090657848278	0.0457269126622747	-0.00634482269894057
Bin78	Acidobacteriota	0.0330310766861748	-0.000503660637631154	-0.000587012354764162
Bin79	Acidobacteriota	0.0820686580754882	0.00553300632227383	-0.00360664049374422
Bin80	Acidobacteriota	0.026534730905076	0.000966824408475579	-0.00953365347387734
Bin81	Acidobacteriota	0.0704401155642365	-0.000113971208047626	-0.00592229688258872
Bin82	Acidobacteriota	0.0253960352267808	-0.000225672570515509	0.0104870522546857
Bin83	Other	0.0489195212231148	0.000539687090995218	0.00805341121893726
Bin84	Other	0.193113229910361	-0.000678952335113246	0.0988065830243247
Bin85	Firmicutes	6.05942777412723	2.2103622042118	9.21041128803141
Bin86	Firmicutes	0.580977689746166	-0.0772444123803645	0.709300380714592
Bin87	Firmicutes	0.931635951017818	-0.307344710956458	1.56542432427613
Bin88	Firmicutes	0.121351063925086	-0.106820959616722	-0.0936796052395047
Bin89	Firmicutes	1.6368239127132	-0.296204053175825	-0.278745685459456
Bin90	Firmicutes	0.256172785409882	0.0467089536973628	-0.282467788512109
Bin91	Firmicutes	0.182110066627062	0.000316311296578582	-0.141834138123109
Bin92	Firmicutes	2.92810037358155	-5.01401635378062	0.139724404421099
Bin93	Firmicutes	2.60644011058138	-0.832190211142729	-3.43842986965132
Bin94	Firmicutes	2.06396424866824	-0.567755729013886	-2.38375412210954
Bin95	Firmicutes	0.690568622962517	0.1060354169587	-0.174442544142304
Bin96	Firmicutes	5.04537191914847	0.69170325439976	8.25549217481757
Bin97	Firmicutes	0.485554329622637	-0.0245178647555486	-0.834820840024079
Bin98	Actinobacteriota	0.276794350232572	0.00525767802233266	0.503833697035133
Bin99	Actinobacteriota	0.200891430335857	-0.000266536511712226	0.178371468240308
Bin100	Actinobacteriota	0.0285834736579379	-0.000584671928080773	0.0313743669816176
Bin101	Actinobacteriota	1.62422442314745	0	-0.139169893626903
Bin102	Actinobacteriota	1.14054505668709	-0.00143058982442097	-0.0995282669200488
Bin103	Actinobacteriota	0.0487919655942144	-0.000327948970852396	0.000798182261676353
Bin104	Spirochaetota	0.172859254338548	8.56151803915492e-05	-0.24636241207837
Bin105	Spirochaetota	3.81869044905874	2.41965182646409	-0.259097906267491
Bin106	Spirochaetota	0.324328984890851	-0.376935700122188	-0.149019880492761
Bin107	Spirochaetota	0.103827607782864	0.0803616146276654	-0.0683741379295253
Bin108	Chloroflexi	0.45571494020333	-0.0826585590270347	0.0994401916640967
Bin109	Chloroflexi	0.202125421227303	0.000851352068170156	-0.0323628006456681
Bin110	Chloroflexi	0.0321169129982279	-0.000798022058551101	0.00734704386643483
Bin111	Acidobacteriota	0.0170572976815336	-0.00101412575453513	-0.0114501921615842
Bin112	Synergistota	1.1986800130785	-0.0460295249924802	-1.98880218603328
Bin113	Other	0.025828429663562	-0.00551452593809453	0.00250593667827024
Bin114	Other	0.0163975757689343	7.32756891511529e-05	0.00861838500126353
